jun 23 13:36:26 AsusLaptop kernel: x86/cpu: SGX disabled or unsupported by BIOS.
jun 23 13:36:26 AsusLaptop kernel: nvme nvme0: failed to set APST feature (2)
jun 23 13:36:26 AsusLaptop kernel: i915 0000:00:02.0: [drm] *ERROR* conflict detected with stolen region: [mem 0x7c000000-0x7fffffff]
jun 23 13:36:29 AsusLaptop tlp[506]: Error: TLP's power saving will not apply on boot because tlp.service is not enabled --> Invoke 'systemctl enable tlp.service' to ensure the full functionality of TLP.
jun 23 13:36:30 AsusLaptop bluetoothd[659]: Failed to set mode: Failed (0x03)
jun 23 13:36:55 AsusLaptop dbus-broker-launch[766]: Ignoring duplicate name 'org.freedesktop.Notifications' in service file '/usr/share/dbus-1/services/org.xfce.xfce4-notifyd.Notifications.service'
jun 23 13:37:03 AsusLaptop systemd[758]: xfce4-notifyd.service: Two services allocated for the same bus name org.freedesktop.Notifications, refusing operation.
jun 23 18:11:19 AsusLaptop kernel: nvme nvme0: failed to set APST feature (2)
jun 23 18:11:20 AsusLaptop bluetoothd[659]: Failed to set mode: Failed (0x03)
jun 23 18:11:20 AsusLaptop bluetoothd[659]: Failed to set mode: Failed (0x03)
jun 23 19:32:05 AsusLaptop tlp[5887]: Error: TLP's power saving will not apply on boot because tlp.service is not enabled --> Invoke 'systemctl enable tlp.service' to ensure the full functionality of TLP.
jun 23 19:32:05 AsusLaptop tlp[5888]: Error: TLP's power saving will not apply on boot because tlp.service is not enabled --> Invoke 'systemctl enable tlp.service' to ensure the full functionality of TLP.
jun 23 19:32:06 AsusLaptop tlp[5961]: Error: TLP's power saving will not apply on boot because tlp.service is not enabled --> Invoke 'systemctl enable tlp.service' to ensure the full functionality of TLP.
jun 23 19:32:06 AsusLaptop tlp[6063]: Error: TLP's power saving will not apply on boot because tlp.service is not enabled --> Invoke 'systemctl enable tlp.service' to ensure the full functionality of TLP.
jun 23 19:59:15 AsusLaptop bluetoothd[659]: src/profile.c:ext_io_disconnected() Unable to get io data for Hands-Free Voice gateway: getpeername: Transport endpoint is not connected (107)
jun 23 19:59:37 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:00:37 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:01:37 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:02:37 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:03:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:04:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:05:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:06:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:07:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:08:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:09:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:10:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:11:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:12:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:13:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:14:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:15:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:16:21 AsusLaptop dbus-broker-launch[766]: Ignoring duplicate name 'org.freedesktop.Notifications' in service file '/usr/share/dbus-1/services/org.xfce.xfce4-notifyd.Notifications.service'
jun 23 20:16:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:17:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:18:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:19:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:20:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:21:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:22:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:23:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:24:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:25:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
